x(UTC)	y(deg)	xtop(UTC)	ytop(deg)
2006-10-04T08:05:02.000Z	128.57	2006-10-04T08:06:06.000Z	128.57
2006-10-04T08:08:14.000Z	147.27	2006-10-04T08:10:22.000Z	144.94
2006-10-04T08:13:34.000Z	142.6	2006-10-04T08:19:58.000Z	142.6
2006-10-04T08:23:10.000Z	154.29	2006-10-04T09:18:38.000Z	147.27
2006-10-04T10:15:10.000Z	144.94	2006-10-04T10:38:38.000Z	144.94
2006-10-04T10:41:50.000Z	144.94	2006-10-04T10:50:22.000Z	151.95
2006-10-04T10:59:58.000Z	149.61	2006-10-04T11:10:38.000Z	149.61
2006-10-05T07:15:58.000Z	147.27	2006-10-05T07:29:50.000Z	144.94
2006-10-05T09:44:14.000Z	161.3	2006-10-05T09:46:22.000Z	161.3
2006-10-05T09:52:46.000Z	161.3	2006-10-05T10:13:02.000Z	161.3
2006-10-05T10:15:10.000Z	158.96	2006-10-05T10:16:14.000Z	158.96
2006-10-05T10:19:26.000Z	154.29	2006-10-05T10:24:46.000Z	154.29
2006-10-05T12:22:06.000Z	147.27	2006-10-05T12:25:18.000Z	144.94
2006-10-05T12:31:42.000Z	163.64	2006-10-05T12:54:06.000Z	163.64
2006-10-05T17:20:46.000Z	154.29	2006-10-05T17:43:10.000Z	154.29
2006-10-08T21:16:29.000Z	37.403	2006-10-08T21:18:37.000Z	37.403
2006-10-08T21:57:01.000Z	30.39	2006-10-08T21:59:09.000Z	30.39
2006-10-08T22:09:49.000Z	35.065	2006-10-08T22:21:33.000Z	35.065
2006-10-08T22:24:45.000Z	32.727	2006-10-08T22:25:49.000Z	32.727
2006-10-09T09:54:53.000Z	25.714	2006-10-09T09:57:01.000Z	25.714
2006-10-09T10:02:21.000Z	28.052	2006-10-09T10:08:45.000Z	28.052
2006-10-09T10:40:45.000Z	28.052	2006-10-09T10:43:57.000Z	28.052
2006-10-09T10:46:05.000Z	30.39	2006-10-09T11:01:01.000Z	28.052
2006-10-12T05:13:17.000Z	149.61	2006-10-12T05:16:29.000Z	149.61
2006-10-15T10:55:40.000Z	165.97	2006-10-15T10:58:52.000Z	165.97
2006-10-15T15:14:52.000Z	151.95	2006-10-15T15:39:24.000Z	151.95
2006-10-15T16:59:24.000Z	154.29	2006-10-15T17:12:12.000Z	154.29
2006-10-15T17:46:20.000Z	165.97	2006-10-15T17:47:24.000Z	165.97
2006-10-15T17:50:36.000Z	165.97	2006-10-15T17:53:48.000Z	165.97
2006-10-15T18:01:16.000Z	168.31	2006-10-15T18:07:40.000Z	168.31
2006-10-17T01:44:12.000Z	156.62	2006-10-17T02:15:08.000Z	156.62
2006-10-21T16:34:51.000Z	18.701	2006-10-21T16:38:03.000Z	14.026
2006-10-21T16:48:43.000Z	21.039	2006-10-21T16:52:59.000Z	21.039
2006-10-21T18:14:03.000Z	18.701	2006-10-21T18:18:19.000Z	18.701
2006-10-22T00:42:19.000Z	28.052	2006-10-22T00:48:43.000Z	23.377
2006-10-22T02:23:39.000Z	30.39	2006-10-22T02:33:15.000Z	28.052
2006-10-24T06:02:19.000Z	18.701	2006-10-24T06:09:47.000Z	18.701
2006-10-24T06:14:03.000Z	23.377	2006-10-24T06:17:15.000Z	23.377
2006-10-24T06:24:43.000Z	25.714	2006-10-24T06:25:47.000Z	25.714
